name,old_price,new_price
Café Grãos Torrado 1 Kg Blend 100% Arábica Gourmet Artesanal,99,91
1kg Café Gourmet Torra Média 100% Arábica Alta Mogiana ,189,108
Café em Grao Torrado Expresso Arábica Torra Escura Grãos 1kg Gourmet Cafe Italle,99,77
Café Gourmet Torrado/moido 100% Árabica Aromas Baggio 250gr Aroma Chocolate Com Avelã,35,
Café Torrado E Moído Gourmet Sul De Minas 250g 3 Corações,39,28
Café Em Grãos Helena 1kg 100% Arábica,97,
Café Torrado e Moído Chocolate com Menta Baggio Pacote 250g,36,33
Cafe Graos Torrado Torra Media Arábica Em Grãos 1kg Gourmet,99,77
Kit 3 Cafés 250g Baggio Café Torrado E Moído,99,
"1kg Café Torrado Em Grãos Torra Média Gourmet Selecionado 100% Arábica - Origem Pequenos Produtores, Sul de Minas.",122,90
Café Gourmet Torrado E Moido Baggio Torra Media Pcte 250gr Intensidade 9,38,
Kit Café Gourmet Baggio Chocolate Com Avelã+trufado+caramelo,133,127
Café Em Pó Saborizado Canela 250g 100% Arábica Gourmet,38,
Café Em Pó Sabor Chocolate 250g 100% Arábica Aromatizado,38,
Café Casa Brasil Gourmet 250g 100% Arábica Alta Mogiana,33,31
Café Gourmet Massimo Segafredo Zanetti 500 G Em Grãos,78,
Café Especial 82 pontos Santa Monica Em Grãos 100% Arábica - 1kg,144,113
1 Kg Café Gourmet Em Grão Ouro Da Mogiana,114,
Café Subasio Gourmet 500gr Grãos Torra Média Clara,58,
3 Corações Gourmet café torrado em grãos 500gr,57,
Café Aromatizado Amêndoas Torradas - Café Floresta - 100gr,22,
Baggio Bourbon Espresso Grão 500g,117,77
Café Torrado E Moído Gourmet Cerrado Mineiro 250g 3 Corações,30,
Café torrado e moído gourmet mogiana paulista 250g 3 Corações,37,31
Café Torrado e Moído Caramelo Baggio Pacote 250g,36,33
Café moído Bem Te Vi - Café Mineiro Gourmet Torra Média 100% Arábica em pacote 500g 500 g,64,43
Drip Coffee Santa Monica Gourmet 10 Sachês -,27,
Café Em Grão Constantino Especial - 1kg Gourmet 100% Arábica,114,
Café em Grãos 3 Corações Expresso Gourmet Torrado Pacote 1 kg,154,133
Café Torrado E Moído Dark Roast Gourmet 250g 3 Corações,37,32
Café Gourmet Top Torrado Em Grãos Notas De Chocolate 1 K,99,
Café Torrado e Moído Gourmet Espresso Baggio 250g,61,38
Café Gourmet Em Grãos Torra Italiana 1 Kg - Santa Mônica,146,
Café Torrado e Moído Sul de Minas Melitta Gourmet Regiões Brasileiras Pacote 250g,34,30
1kg Café Torrado Em Grãos 100% Arábica Gourmet Baixa Mogiana,109,101
Café Gourmet Appassionato Em Grãos Caramelo 100% Arábica 1kg,99,91
Café Em Grão Torrado Espresso Gourmet Tres Corações 1kg,147,134
Café Torrado em Grãos Espresso Santa Lúcia Pacote 1kg,96,
Café Torrado e Moído Café Odebrecht Gourmet Caixa 500g,59,43
Café Torrado e Moído Equilibrado L'or Torras Gourmet Sachê 250g,39,31
1kg Café Gourmet em Grãos Torrado Vô Luiz 100% Arábica,99,
1kg Café Gourmet Grãos 100% Arabica Direto Do Produtor Minas,117,91
Café Gourmet Torrado Em Grãos Appassionato 250g,28,
Café Gourmet Em Grãos Reserva Gourmet Sabor Bourbon 2 Pct,136,112
1kg Café Em Grãos Gourmet Selecionado Torra Média. Sul De Mg,121,92
Café Em Grãos Gourmet América 100% Arabica 500g,59,
Café Torrado e Moído Dark Roast Gourmet 500g 3 Corações,65,
"Kit Café Especial Em Grãos, 3 Sabores, 3 Pct De 200g,",94,77
Café Gourmet Vó Liani 500g Torrado E Moído Torra Média,49,45
Café Gourmet 20 Cápsulas Nespresso - Santa Monica,59,
Café torrado em grãos espresso 3 Corações Gourmet pacote 1kg,157,144
Café Individual Gourmet Santa Monica Drip Coffee 10 Sachês,49,32
